group,victim,attackdate,country,activity,sector,website,description
qilin,Spohn + Burkhardt GmbH & Co KG,2025-08-09 00:00:00.000000,DE,Manufacturing,,,"At Spohn + Burkhardt, Germany produce custom control transmitters, control systems and resistors that are robust and comfortable. These are highly customized and complex products that are often designed and manufactured in a single piece. On             ..."
qilin,lpco.co,2025-08-07 00:00:00.000000,US,Not Found,,,"Lawrence Paper specializes in the design and manufacture of corrugated boxes and packaging solutions. The company offers a wide range of services, including industrial boxes, retail-ready packaging, custom box manufacturing, as well as digita            ..."
qilin,CIMEXSTEEL.CZ,2025-08-07 00:00:00.000000,CZ,Manufacturing,,,The Czech holding company CS STEEL a.s. manufactures and sells metal structures for private and public sector clients. A small company that failed to protect its infrastructure has put dozens of its clients at risk. These are not private indi            ...
qilin,Çağrı Group,2025-08-07 00:00:00.000000,TR,Not Found,,,"Çağrı Elektrik - Çağrı Grup A.Ş. is a Turkish company that specializes in providing electrical materials, project contracting, renewable energy solutions, switchboard manufacturing, medium voltage systems, low voltage systems, and engi            ..."
qilin,ferrocortes,2025-08-06 00:00:00.000000,CO,Not Found,,,"Ferrocortes S.A.S is a leader in high-quality steel solutions for heavy machinery and hardware from Colombia. The company provides customized steel products such as sheets and profiles, catering to various industrial sectors including mining,            ..."
qilin,Clifford Paper Inc,2025-08-05 00:00:00.000000,US,Manufacturing,,,"Clifford Paper Inc, USA - is a family-owned business with a deep legacy in the forest products industry, operating since 1985. They specialize in providing paper products and value-added services. Clifford Paper maintains strong relationships            ..."
qilin,haaker.com,2025-08-04 00:00:00.000000,US,Not Found,,,"Haaker Equipment Company manufactures sweepers, sludge suction machines, and spare parts for them. The company was founded in 1972 and is headquartered in Los Angeles, California.
1.The document is invoice No. 3300290201 from Nilfisk Inc., i            ..."
qilin,Aggressive Air Compressor & co,2025-08-03 00:00:00.000000,,Manufacturing,,,"We have full control of your systems, including:
✅ All invoices
✅ Customer databases (names, addresses, contact details)
✅ Scanned documents (IDs, driver’s licenses, confidential files)
✅ Financial records & other sensitive data            ..."
qilin,cadex.com,2025-08-01 00:00:00.000000,CA,Technology,,,"Cadex Electronics specializes in the design and manufacturing of diagnostic chargers, battery analyzers, and rapid testers aimed at optimizing battery performance and longevity. Their products serve a variety of sectors including military, me            ..."
qilin,tissot.com,2025-07-29 00:00:00.000000,CH,Not Found,,,"TISSOT Industrie is an internationally recognized French company, expert in heavy boilermaking and in the realization of tailor-made industrial projects.



Since 1942, the TISSOT company has studied, manufactured, transported and assembl            ..."
